alias,location_label
"Curran Theater",Curran Theater
"Curran SF",Curran Theater
"The Curran",Curran Theater
"SF Curran",Curran Theater
"Curran Theatre",Curran Theater
"San Francisco Symphony",Davies Symphony Hall
"SF Symphony",Davies Symphony Hall
"SFS",Davies Symphony Hall
"Davies Symphony Hall",Davies Symphony Hall
"Louise M. Davies Symphony Hall",Davies Symphony Hall
"Davies Hall",Davies Symphony Hall
"ACT Geary Theater",ACT Toni Rembe Theater
"Toni Rembe Theater",ACT Toni Rembe Theater
"ACT Rembe Theater",ACT Toni Rembe Theater
"American Conservatory Theater",ACT Toni Rembe Theater
"Toni Rembe Rock",ACT Toni Rembe Theater
"ACT Geary",ACT Toni Rembe Theater
"Geary Theater",ACT Toni Rembe Theater
"ACT Strand",ACT Strand Theater
"Strand Theater",ACT Strand Theater
"The Strand",ACT Strand Theater
"Strand Theatre",ACT Strand Theater
"The Fillmore",The Fillmore
"Fillmore Auditorium",The Fillmore
"Fillmore SF",The Fillmore
"The Fillmore SF",The Fillmore
