label,location_label,latitude,longitude,radius,event_start_date,event_start_time,event_duration,hours_before_start,hours_after_end,details,web,icon,affected_garages_ids,affected_areas
Rich Brian - WHERE IS MY HEAD? 2026 WORLD TOUR,The Regency,37.78788,-122.42141,0.14,2026-03-13,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Miss Bashful - THE GLAMOUR SNOBBY US TOUR,The Regency,37.78788,-122.42141,0.14,2026-03-20,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Harry Styles Night,The Regency,37.78788,-122.42141,0.14,2026-03-21,21:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Aries - GLASS JAW World Tour with Tiffany Day,The Regency,37.78788,-122.42141,0.14,2026-03-26,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Monaleo - Who Did The Body Tour,The Regency,37.78788,-122.42141,0.14,2026-03-27,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
The Maine - I LOVE YOU BUT... I CHOSE THE MAINE,The Regency,37.78788,-122.42141,0.14,2026-03-29,18:30:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Sunn O))),The Regency,37.78788,-122.42141,0.14,2026-03-30,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Che - ENCORE,The Regency,37.78788,-122.42141,0.14,2026-04-03,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Sacred Dance 'White Party',The Regency,37.78788,-122.42141,0.14,2026-04-04,21:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Baby J,The Regency,37.78788,-122.42141,0.14,2026-04-10,21:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Tomora - AURORA and Tom Rowlands (The Chemical Brothers),The Regency,37.78788,-122.42141,0.14,2026-04-14,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
"Behemoth - The Godless IV 2026 with Deicide, Rotting Christ, Immolation",The Regency,37.78788,-122.42141,0.14,2026-04-15,18:25:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Lebanon Hanover,The Regency,37.78788,-122.42141,0.14,2026-04-18,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
"Cattle Decapitation - 30 YEARS OF INHUMANITY TOUR with Brujeria, No Cure",The Regency,37.78788,-122.42141,0.14,2026-04-20,19:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Everglow - 2026 EVERGLOW WORLD TOUR [RE:CODE],The Regency,37.78788,-122.42141,0.14,2026-04-23,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
"Max Styler - 2nd Show Added! 2026 Tour with WELKER, Jlittle",The Regency,37.78788,-122.42141,0.14,2026-04-24,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
"Max Styler - 2026 Tour with SLAMM, TARA",The Regency,37.78788,-122.42141,0.14,2026-04-25,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Benjamin Tod - Benjamin Tod and the Inline Six 2026 Tour with Colton Bowlin,The Regency,37.78788,-122.42141,0.14,2026-04-26,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Pub Choir - Eyes Up!,The Regency,37.78788,-122.42141,0.14,2026-04-27,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Le Youth - who are you really? San Francisco,The Regency,37.78788,-122.42141,0.14,2026-05-01,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Lou Deezi,The Regency,37.78788,-122.42141,0.14,2026-05-09,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Anuv Jain,The Regency,37.78788,-122.42141,0.14,2026-05-11,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Poison the Well - Peace in Place Tour,The Regency,37.78788,-122.42141,0.14,2026-05-17,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
American Football,The Regency,37.78788,-122.42141,0.14,2026-05-22,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
VTSS - A/V Tour,The Regency,37.78788,-122.42141,0.14,2026-03-13,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Ibrahim Maalouf - Trumpets of Michel Ange,The Regency,37.78788,-122.42141,0.14,2026-06-20,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Underscores - Galleria North American Chapter with umru,The Regency,37.78788,-122.42141,0.14,2026-06-26,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Aaron Hibell - Synchronicity North American Tour 2026,The Regency,37.78788,-122.42141,0.14,2026-06-27,20:00:00,02:00:00,01:00:00,00:30:00,,https://www.theregencyballroom.com/shows/,/img/event_icon/regency.png,,
Lindy West in conversation with Carvell Wallace,Sydney Goldstein Theater,37.777102,-122.420847,0.13,2026-03-27,19:30:00,02:00:00,01:00:00,00:30:00,,https://www.cityarts.net/events/,/img/event_icon/nourse_theater.png,"16,23",
